Catalog Number;Collectors;Collector Number;Start Date;Start Date Precision;Pais;Provincia;Distrito ou Municipio;Locality Name;Latitude1;Longitude1;Collection;Determiner;Kingdom;phylum;class;order;family;genus;Full Name;Species Author;subspecies Author;variety Author
LISC049565;A.R.Torre;6806;25/07/1944;1;Mozambique;Gaza;Mandlakaze;Muchopes, Manjacaze, serração de Santos Gil.;-24,489762;33,973972;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna natalitia;(Meisn.) Walp.;;
LISC049566;A.R.Torre;6806;25/07/1944;1;Mozambique;Gaza;Mandlakaze;Muchopes, Manjacaze, serração de Santos Gil.;-24,489762;33,973972;Herbário;J.G.Garcia;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna natalitia;(Meisn.) Walp.;;
LISC049567;F.A.Mendonça;1699;07/12/1942;1;Mozambique;Província de Maputo;Namaacha;Namaacha, próximo da Cascata.;-25,9564064;32,0356825;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna natalitia;(Meisn.) Walp.;;
LISC049568;F.A.Mendonça;618;03/10/1942;1;Mozambique;Tete;Moatize;Tete, monte Zobuè;-15,61301;34,457854;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna polyneura;Gilg;;
LISC049569;A.R.Torre;6139;10/11/1843;1;Mozambique;Manica;;Mossurize, entre Espungabera e Chibababa.;-20,372676;33,211379;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna pulchra;Hook.f.;;
LISC049570;F.A.Mendonça;499;29/09/1942;1;Mozambique;Tete;Macanga;Macanga, estrada de Furancungo para Angónia, próximo de Furancungo.;-14,896944;33,6149979;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna richardsiae;N.Robson;;
LISC049571;F.A.Mendonça;649;08/10/1942;1;Mozambique;Niassa;Mandimba;Amaramba, estrada de Mandimba para Vila Cabral, a 13 km de Mandimba.;-14,279657;35,564083;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna schweinfurthiana;F.Hoffm.;;
LISC049572;F.A.Mendonça;792;12/10/1942;1;Mozambique;Niassa;N´Gaúma;Vila Cabral, serra de Massangulo.;-13,8750005;35,4286098;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna schweinfurthiana;F.Hoffm.;;
LISC049573;F.A.Mendonça;792;12/10/1942;1;Mozambique;Niassa;N´Gaúma;Vila Cabral, serra de Massangulo.;-13,8750005;35,4286098;Herbário;E.J.Mendes;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna schweinfurthiana;F.Hoffm.;;
LISC049574;A.R.Torre;3743;01/11/1941;1;Mozambique;Manica;Báruè;Báruè, Vila Gouveia.;-18,0574999;33,1736126;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna schweinfurthiana;F.Hoffm.;;
LISC049575;A.R.Torre ;6005;02/09/1943;1;Mozambique;Manica;;Báruè, estrada de Vila Pery a Vila Gouveia.;-18,588941;33,325727;Herbário;N.K.B.Robson;Plantae;Tracheophyta;Magnoliopsida;Malpighiales;Ochnaceae;Ochna;Ochna schweinfurthiana;F.Hoffm.;;
LISC049576;F.A.Mendonça;402;25/09/1942;1;Mozambique;Tete;Marávia;Marávia, estrada de Fíngoè para Chioco, 5 km antes do Zambeze;-15,540602;32,314773;Herbário;H.Wild;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Commiphora;Commiphora africana;(A.Rich.) Engl.;;
LISC049577;F.A.Mendonça;404;25/09/1942;1;Mozambique;Tete;Marávia;Marávia, estrada de Fíngoè para Chioco, 5 km antes do Zambeze;-15,540602;32,314773;Herbário;H.Wild;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Commiphora;Commiphora africana;(A.Rich.) Engl.;;
LISC049578;A.R.Torre;2705;21/05/1941;1;Mozambique;Inhambane;Funhalouro;Massinga, estrada de Funhalouro para Vilanculos, a 20 km de Funhalouro.;-22,945668;34,467346;Herbário;H.Wild;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Commiphora;Commiphora africana;(A.Rich.) Engl.;;
LISC049579;A.R.Torre;2705;21/05/1941;1;Mozambique;Inhambane;Funhalouro;Massinga, estrada de Funhalouro para Vilanculos, a 20 km de Funhalouro.;-22,945668;34,467346;Herbário;H.Wild;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Commiphora;Commiphora africana;(A.Rich.) Engl.;;
LISC049580;F.A.Mendonça;1958;02/09/1944;1;Mozambique;Inhambane;Mabote;Govuro, entre Mabote e Zimane, ao 47373 km.;-22,174927;33,985966;Herbário;H.Wild;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Commiphora;Commiphora africana;(A.Rich.) Engl.;;
LISC049581;A.R.Torre;4740;01/11/1942;1;Mozambique;Nampula;;Entre António Enes (Angoche) e Corrane.;-15,844051;39,763141;Herbário;H.Wild;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Commiphora;Commiphora africana;(A.Rich.) Engl.;;
LISC049582;A.R.Torre;4740;01/11/1942;1;Mozambique;Nampula;;Entre António Enes (Angoche) e Corrane.;-15,844051;39,763141;Herbário;;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Commiphora;Commiphora africana;(A.Rich.) Engl.;;
LISC049583;J.G.Garcia;853;02/04/1948;1;Mozambique;Manica;Manica;Chimoio, montes de Belas a sul do apeadeiro.;-18,9483328;33,221386;Herbário;H.Wild;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Commiphora;Commiphora africana;(A.Rich.) Engl.;;
LISC049584;F.A.Mendonça;3464;23/12/1944;1;Mozambique;Província de Maputo;Namaacha;Maputo, Goba;-26,1997213;32,1516864;Herbário;H.Wild;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Commiphora;Commiphora africana;(A.Rich.) Engl.;;
LISC049585;F.A.Mendonça;3166;30/11/1944;1;Mozambique;Província de Maputo;Magude;Magude, entre Mahel e Mapulangúene.;-24,563925;32,266659;Herbário;H.Wild;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Commiphora;Commiphora africana;(A.Rich.) Engl.;;
LISC049586;F.A.Mendonça;3053;22/11/1944;1;Mozambique;Província de Maputo;Namaacha;Maputo, Goba;-26,1997213;32,1516864;Herbário;H.Wild;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Burseraceae;Commiphora;Commiphora africana;(A.Rich.) Engl.;;
